addClient(),17:26:38 22/05/2022
stergeClient,17:26:40 22/05/2022
afisareClienti(),17:26:42 22/05/2022
addMasinaNoua(),17:26:51 22/05/2022
addMasinaRulata(),17:26:57 22/05/2022
afisareMasini(),17:26:58 22/05/2022
afisareMasiniRulate(),17:27:00 22/05/2022
stergeMasina(),17:27:01 22/05/2022
stergeMasina(),17:27:03 22/05/2022
addAgentVanzari(),17:27:15 22/05/2022
afisareAgentiVanzari(),17:27:17 22/05/2022
stergeAgentVanzari(),17:27:19 22/05/2022
addClient(),17:27:25 22/05/2022
addMasinaNoua(),17:27:33 22/05/2022
addAgentVanzari(),17:27:42 22/05/2022
addVanzare(),17:27:49 22/05/2022
afisareVanzari(),17:27:53 22/05/2022
stergeVanzare(),17:28:07 22/05/2022
Program terminated successfully,17:28:10 22/05/2022
